Participant Number,Track ID,Full Text ,Positive,Favourite,Negative,Familiar,Unfamiliar,Musical Expressive Characteristics,Lyrics,Musical Meaning,Bass Line,Beat,Hook ,Instrumentation,Melody,Performer,Production,Rhythm,Riffs-Ornamentation,Song Structure/Composition,Sound ,Style,Tempo ,Vocals,Album,Artist ,Era ,Genre,Version,Other Forms of Media,Film,Music Video ,Musical,Playlist,Television,Memory,Discovery,Emotion,Event/Concert,Personal Event,Vacation,Place ,Time or Stage in Life,Girft/Recommendation ,Rediscovery,Reminisce- Nostalgia,Personal Performance ,People,Being Alone,Family ,Friends,Loss of a person,Romantic relationship,Recommendation from Friend/Family ,Accompaniment,Dancing,Driving ,Exercising ,Partying ,Singing ,Sleeping ,Walking ,Working ,Imagination,Season/time of day/weather,Christmas,Summer,Create Atmosphere,Change Mood,Stress/Frustration/Tension,Calm,Energy,Happiness-good mood,Motivation/focus,Sadness,Match Mood,No relationship,Participating in the study 
71,a,It reminds me of a safe place after a storm. The thrill is still there but calming down with the cool breeze and the sun shining through the clouds. I like to listen to playlists with songs that have similar tones and beats. This is a nice and relaxing song. It's also an interpretation of a classical tune which sounds cool in a jazz rendition. It's still mid Sunday morning when i'm doing this survey and it's come up as an appropriate track for this time of the day. It has enough variation to lift my mood but still has a calming effect. It gives me a familiar feeling. Maybe because i've known the tune for a long time and it really suits jazzy tones. It reminds me of my youth when i used to follow live jazz music around town.,This is a nice and relaxing song. /  It's also an interpretation of a classical tune which sounds cool in a jazz rendition.,,, It gives me a familiar feeling. Maybe because i've known the tune for a long time and it really suits jazzy tones.,,,,,, I like to listen to playlists with songs that have similar tones and beats,,,,,,,,, I like to listen to playlists with songs that have similar tones and beats/ Maybe because i've known the tune for a long time and it really suits jazzy tones.,,,,,,, It's also an interpretation of a classical tune which sounds cool in a jazz rendition. / Maybe because i've known the tune for a long time and it really suits jazzy tones. /  It reminds me of my youth when i used to follow live jazz music around town.,It's also an interpretation of a classical tune which sounds cool in a jazz rendition. ,,,,, I like to listen to playlists with songs that have similar tones and beats,,,,,,,,, It reminds me of my youth when i used to follow live jazz music around town.,,, It gives me a familiar feeling. Maybe because i've known the tune for a long time and it really suits jazzy tones.,,,,,,,,,,,,,,,,,,It reminds me of a safe place after a storm. The thrill is still there but calming down with the cool breeze and the sun shining through the clouds., It's still mid Sunday morning when i'm doing this survey and it's come up as an appropriate track for this time of the day.,,,,,,This is a nice and relaxing song. / It has enough variation to lift my mood but still has a calming effect. ,,It has enough variation to lift my mood but still has a calming effect. ,,, It's still mid Sunday morning when i'm doing this survey and it's come up as an appropriate track for this time of the day.,,
71,b,"Sunny days, dance and fun. It's part of an uplifting playlist. I don't think i had a specific reason to save the track. I must have heard it somewhere and decided that it suits the mood of the playlist. It gives me positive feeling (even though the lyrics sound depressing, the music totally counteracts it).. I don't have a specific relationship but it feels like a place i'd like to be or hope to find.",,,,,,,"It gives me positive feeling (even though the lyrics sound depressing, the music totally counteracts it).. ",,,,,,,,,,,,"It gives me positive feeling (even though the lyrics sound depressing, the music totally counteracts it).. ",,,,,,,,,,,,,It's part of an uplifting playlist. /  I must have heard it somewhere and decided that it suits the mood of the playlist.,,,,,,,,,,,,,,,,,,,,,,"Sunny days, dance and fun.",,,,,,,,,Sunny days,,,,"It's part of an uplifting playlist. / It gives me positive feeling (even though the lyrics sound depressing, the music totally counteracts it).. ",,,,"It gives me positive feeling (even though the lyrics sound depressing, the music totally counteracts it)..",,,, I don't have a specific relationship but it feels like a place i'd like to be or hope to find.,
72,a,"Dancing  I really like the beat It makes me think about dancing and good nights out, puts me in good mood I suppose Not really, its no different from a lot of tracks I have that make me feel the same thing",,,,,,,,,," I really like the beat It makes me think about dancing and good nights out, puts me in good mood I suppose",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Dancing /  I really like the beat It makes me think about dancing and good nights out, puts me in good mood I suppose",,," I really like the beat It makes me think about dancing and good nights out, puts me in good mood I suppose",,,,,,,,,," I really like the beat It makes me think about dancing and good nights out, puts me in good mood I suppose",,,, puts me in good mood I suppose ,,,,"Not really, its no different from a lot of tracks I have that make me feel the same thing",
72,b,"My little brother I like the song, it makes me think of summer and it's a fairly unusual song i guess It's quite fun, makes me think of summer Yes I suppose, makes me think of my little brother, he asked if I had it in my playlist once, and I said no, and he seemed so disappointed, so it's been in there since then","My little brother I like the song, it makes me think of summer and it's a fairly unusual song i guess",,,,,"fairly unusual song, g i guess It's quite fun,",,,,,,,,,,,,,,,,,,,,,,,,,,"r Yes I suppose, makes me think of my little brother, he asked if I had it in my playlist once, and I said no, and he seemed so disappointed, so it's been in there since then",,,,,,,,,,,,,,,,"My little brother I like the song, it makes me think of summer and it's a fairly unusual song i guess/ r Yes I suppose, makes me think of my little brother, he asked if I had it in my playlist once, and I said no, and he seemed so disappointed, so it's been in there since then",,,,,,,,,,,,,,,,,"My little brother I like the song, it makes me think of summer and it's a fairly unusual song i guess",,,,,,,,,,,
73,a,"Played as a teenager, memories of concerts and friends it is beautiful Evokes happy memories and is familiar and calming played as a teenager","Played as a teenager, memories of concerts and friends it is beautiful ",,,Evokes happy memories and is familiar and calming played as a teenager,,Beautiful,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Evokes happy memories and is familiar and calming played as a teenager,"Played as a teenager, memories of concerts and friends it is beautiful ",,,,"Played as a teenager, memories of concerts and friends it is beautiful / Evokes happy memories and is familiar and calming played as a teenager",,,Evokes happy memories and is familiar and calming played as a teenager,,,,,"Played as a teenager, memories of concerts and friends it is beautiful ",,,,,Evokes happy memories and is familiar and calming played as a teenager,,,,,,,,,,,,,Evokes happy memories and is familiar and calming played as a teenager,,Evokes happy memories and is familiar and calming played as a teenager,,,,,,,
73,b,"wine, friends, bars trumpet playing is brilliant and it is very uplifting it makes me smile  Not particularly, cant remember when i furst started to appreciate miles davis....feels like background to so many fun times",,,,,,,,,,,, trumpet playing is brilliant and it is very uplifting ,,,,,,,,,,,,"Not particularly, cant remember when i furst started to appreciate miles davis....feels like background to so many fun times",,,,,,,,,,,,,,,,,,,,,,,,,"wine, friends, bars",,,,"Not particularly, cant remember when i furst started to appreciate miles davis....feels like background to so many fun times",,,,"wine, friends, bars",,,,,,,,,, trumpet playing is brilliant and it is very uplifting ,,,, it makes me smile ,,,,"Not particularly, cant remember when i furst started to appreciate miles davis....feels like background to so many fun times",
74,a,It's really upbeat and quite settling to listen to./I own a number of stereophonic albums and really enjoy their music./It's catchy and easy to sing along to. The song builds up nicely to the chorus sections./No. I just enjoy music by the Stereophonics in general.,I own a number of stereophonic albums and really enjoy their music./ No. I just enjoy music by the Stereophonics in general.,,,,,"really upbeat and quite settling, catchy",,,,It's really upbeat and quite settling to listen to.,,,,,,,,The song builds up nicely to the chorus sections.,,,,,I own a number of stereophonic albums and really enjoy their music./,I own a number of stereophonic albums and really enjoy their music./ No. I just enjoy music by the Stereophonics in general.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,It's catchy and easy to sing along to. ,,,,,,,,,,,,,,,,,No. I just enjoy music by the Stereophonics in general.,
74,b,"Holidays, summer, and being away in the sun.\I purchased the song in 2014 when it was released and played it quite a lot during the summer.\It's a happy, upbeat song and remind me of the summer. However, because it's a little bit dated now and I over played it when it was initially released so I don't enjoy it quite as much as I do other songs.\Yes. It reminds me of 2014 during summer.",,,"However, because it's a little bit dated now and I over played it when it was initially released so I don't enjoy it quite as much as I do other songs.",Yes. It reminds me of 2014 during summer.,,"It's a happy, upbeat song ",,,,"\It's a happy, upbeat song and remind me of the summer. ",,,,,,,,,,,,,,,,,,,,,,,,, purchased the song in 2014 when it was released ,,,,"Holidays, summer, and being away in the sun.",,\I purchased the song in 2014 when it was released and played it quite a lot during the summer./ Yes. It reminds me of 2014 during summer.,,,,,,,,,,,,,,,,,,,,,, and being away in the sun,,"Holidays, summer, and being away in the sun./ \I purchased the song in 2014 when it was released and played it quite a lot during the summer./ \It's a happy, upbeat song and remind me of the summer. / Yes. It reminds me of 2014 during summer.",,,,,,,,,,,
75,a,Great song.  I bought the album that this track is on as I like the band.  It's a great song by a band I like.  Yes. I've seen the band live and have listened to this track many many times.,Great song. / I bought the album that this track is on as I like the band. /  It's a great song by a band I like.  ,,,Yes. I've seen the band live and have listened to this track many many times.,,,,,,,,,,,,,,,,,,,I bought the album that this track is on as I like the band. ,I bought the album that this track is on as I like the band. /  It's a great song by a band I like.  / Yes. I've seen the band live and have listened to this track many many times.,,,,,,,,,,,,,Yes. I've seen the band live and have listened to this track many many times.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75,b,"Manchester I bought the album that this track is on.  It's good but not my favourite Coldplay track. Yes, saw this band live, have more than one album. ", It's good but not my favourite Coldplay track. ,, It's good but not my favourite Coldplay track. ,,,,,,,,,,,,,,,,,,,," I bought the album that this track is on./ Yes, saw this band live, have more than one album. ", It's good but not my favourite Coldplay track. ,,,,,,,,,,,,,"Yes, saw this band live, have more than one album. ",,,Manchester ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
